ÁLAVA, 43
AVDA. DIEGO MORÓN, 3
Pº DE LOS NARANJOS, 1
LA ESQUILA, 5
RONDA NORTE, S/N
RONDA NORTE, S/N
PUNTA UMBRÍA, 8
AVENIDA LAS ROSAS, S/N
AV. MARTÍNEZ DE VELASCO, 36
CTRA. DE ARGUIS, KM. 2,5
LUCAS MALLADA, 22
SARIÑENA, 12
CTRA. NACIONAL 240, S/N
CALZADA DE RAPITÁN S/N
HERMANA ANDRESA, 2
AV. DEL EJÉRCITO ESPAÑOL, 10
CTRA. DEL NEVERAL, S/N
CTRA. BAILÉN-MOTRIL, S/N
PASEO DE LA ESTACIÓN, 40
AV. DE SAN CRISTÓBAL, S/N
CTRA. DE LINARES, KM. 1
AV. DEL EJÉRCITO ESPAÑOL, 10
AV. BLAS INFANTE, S/N
AVDA. DEL EJERCITO ESPAÑOL, 10
CRTRA PUENTE DE GÉNAVE-LA PUERTA DE SEGURA KM 0,300
CAMINO VIEJO DE LA FUENSANTA, 2
AVDA. IBEROAMÉRICA, S/N
ALTOS DE NAVA, S/N
CTRA. DE ASTURIAS, S/N
CARDENAL LANDÁZURI, 2
MARQUESES DE SAN ISIDRO, 11
AV. DE MADRID, 118
MÉDICOS SIN FRONTERAS, 7
HOSPITAL, 26-28
AV. SAN IGNACIO DE LOYOLA, 73
ALTOS DE LA NAVA S/N
LA FUENTINA, S/N. LLANOS DE NAVA. NAVATEJERA
AV. DE GALICIA, 1
AV. DE ASTURIAS, S/N
AV ALCALDE ROVIRA ROURE, 80
AV ALCALDE ROVIRA ROURE, 44
CR BISBE TORRES, 13
CR BISBE MESSEGUER, 3
AV ENRIC PRAT DE LA RIBA, 79-81
AV ROVIRA ROURE, 116
PS JOAN BRUDIEU, 8
PL ANTONI GUITART, 1
AV PAU CASALS, 5
CR ESPITAU, 8
CR GREGORI GALLEGO, 22-28
CR PARTIDA DEL GRAÓ, S/N
CT DE LLEIDA A PUIGCERDÀ, .89
CR ACADÈMIA, 41
CT N-240, .111
CR AFORES, S/N
AV CANADENCA, 28
C/ PIQUERAS 98
CTRA. DE PIQUERAS, 98
AV. DE VIANA, S/N
CALLE RAMÓN Y CAJAL S/N
CTRA. LOGROÑO, S/N
HERMANOS MARISTAS S/N
CRTA. SORIA KM. 8
SEVERO OCHOA, 5
SANTIAGO RAMÓN Y CAJAL S/N
ULISES ROMERO, 1
RUA CALDE, S/N
DOUTOR IGLESIAS OTERO, S/N
MONTEVIDEO, 23
MEDICO VIOR, S/N
CORREDOIRA, S/N
ULISES ROMERO, 1
Pº DE LA CASTELLANA, 261
CTRA. DE COLMENAR VIEJO, KM. 9,1
AV. DE CÓRDOBA, S/N
PROF. MARTÍN LAGOS, S/N
PUERTO LUMBRERAS, 5
MAESTRO VIVES, 2
DIEGO DE LEÓN, 62
AV. MENÉNDEZ PELAYO, 65
AV. DE LA REINA VICTORIA, 22-24
SINESIO DELGADO, 8-10
CTRA. DE COLMENAR VIEJO, KM. 14,5
DR ESQUERDO, 46
DR ESQUERDO, 46
FRANCISCO SILVELA, 40
CTRA. DE COLMENAR VIEJO, KM. 13,8
PRÍNCIPE DE VERGARA, 53
SERRANO, 199
SAN BERNABÉ, 13
CARTAGENA, 111
DR ESQUERDO, 83
LA GRANJA, 8
JOAQUÍN COSTA, 28
ARTURO SORIA, 204
LÓPEZ DE HOYOS, 259
C\ PINAR DE SAN JOSÉ, 98
AV. DE LOS REYES CATÓLICOS, 2
CALLE HONDURAS, 14
CTRA. DE COLMENAR VIEJO, KM. 16
JUAN BRAVO, 39
ARTURO SORIA, 103
LOMA, 1
GENERAL RODRIGO, 8
ARTURO SORIA, 17
JUAN BRAVO, 49
LA MASÓ, 38
MODESTO LAFUENTE, 14
PLÉYADES, 25 (ARAVACA)
JOSÉ SILVA, 7
PZA MARIANO DE CAVIA, 3
DOCTOR JUAN JOSÉ LÓPEZ IBOR, 2
AV. DE LOS POBLADOS, 70
GLORIETA DEL EJÉRCITO, Nº 1
CTRA. ALCALÁ-MECO, S/N
CTRA. DE LAS DEHESAS, S/N
JARDINES, 1
AV. DE SAN JUAN DE DIOS, 1
JOAQUÍN DE CÁRDENAS, 2
PASEO DEL MOLINO DEL REY, 2
AV. DE ORELLANA, S/N
LA LUNA, 1
CTRA. DE POZUELO, 61
RÍO JÚCAR, S/N
CTRA. GUADARRAMA - SAN LORENZO DE EL ESCORIAL, KM. 6,2
CTRA. DEL HOSPITAL, S/N KM. 5
PZA CONDE DEL VALLE DE SUCHILL, 16
CRTRA DE TOLEDO, KM. 12,5
PIRINEOS, 7
AV. VALLADOLID, 83
BUDAPEST, 1
AV. VENTISQUERO DE LA CONDESA, 42
AV. MONTEPRÍNCIPE, 25
GÓMEZ HEMANS. 2-4
ESTAMBUL, 30
CAMINO DEL MOLINO, 2
AV. CASTILLO OLIVARES S/N
Pº DE LA CASTELLANA, 261
AV. FRANCISCO PI Y MARGALL, 81
CRTRA. M-501 KM 17,900 (VÍA DE SERVICIO)
DIEGO DE VELAZQUEZ, 1
CONCEJAL FRANCISCO JOSÉ JIMÉNEZ MARTÍN, 128
OÑA, 10
AV. DE LOS REYES CATÓLICOS, 21
LA SALLE, 12
PASEO DE EUROPA, 34
AV. MARIE CURIE, S/N
GRAN VÍA DEL ESTE, 80
RONDA DEL SUR, 10
AVDA. AMAZONAS CENTRAL, S/N
AV. 9 DE JUNIO, 2
JOAQUÍN RODRIGO, 2
CARRETERA NACIONAL VI, KM. 50,300
MATEO INURRIA, S/N
GLADIOLO S/N
CARRETERA DE ALPEDRETE A MORALZARZAL M-608 KM 41
AVENIDA DE CARLOS V, 70
C/ SANTIAGO 14
C/ JOSÉ MARÍA LÓPEZ MALLA Nº 3 (ANTIGUO PASEO DE SAN DAMIAN 3)
MARQUESADO DE SANTA MARTA, 1
GRAN VÍA DEL ESTE, 80
AV. CARLOS HAYA, S/N
COLONIA DE STA. INÉS, S/N
PLAZA DEL HOSPITAL CIVIL, S/N
CTRA. CASABERMEJA, 126
SAN JUAN BOSCO, 41
AV. PINTOR JOAQUÍN SOROLLA, 2
CORREGIDOR NICOLÁS ISIDRO, 16
SAN AGUSTÍN, 1
FERNÁNDEZ DE ALARCÓN, 2
AV. HERNÁN NÚÑEZ DE TOLEDO, 5
Pº DE SANCHA, 15-17
AV. DEL POETA MUÑOZ ROJAS, S/N
AV. SEVERO OCHOA, 22
CTRA. EL BURGO, KM.1
URB. EL TOMILLAR, S/N
SANATORIO, 5
URBANIZACIÓN LOS ÁLAMOS, S/N
AV. CARLOS HAYA, S/N
CAMPUS UNIVERSITARIO TEATINOS, S/N
AVDA. ARROYO DE LOS ANGELES, S/N
AUTOVÍA A-7, KM. 187
AMARGURA, 31
CRTRA. DE ALMERÍA KM 261
URB. LAS MIMOSAS. CASA SANTA ISABEL, S/N (NUEVA ANDALUCÍA)
C. NACIONAL 340, KM. 176, PUERTO BANÚS
AV. DE LA TORRE, 24
CRTRA. NACIONAL 340, KM 162. PARTIDO DE VELERÍN
AV. DEL COSMOS, S/N (ARROYO DE LA MIEL-BENALMÁDENA COSTA)
AVDA. DE LOS ARGONAUTAS, S/N (ARROYO DE LA MIEL-BENALMÁDENA COSTA)
EXTREMADURA, 8
AVDA. ARROYO HONDO, S/N
AV IMPERIO ARGENTINA 1
AVDA. ANDALUCÍA, 4
AVDA. SEVERO OCHOA, S/N, EDIFICIO MAYORAL
C/ MAESTRA DOÑA CAROLA, 8 - URB. EL HIGUERAL
C/ ANTONIO FERRANDIS "CHANQUETE", 1 - EDIFICIO RIOSOL
CARRETERA NACIONAL 340, KM. 175 (PUERTO BANÚS)
CARRETERA RONDA SAN PEDRO, KM. 2
CTRA. MADRID-CARTAGENA, S/N. (EL PALMAR)
AV. INTENDENTE JORGE PALACIOS, 1
LORCA, 58  (EL PALMAR)
MIGUEL HERNÁNDEZ, 12
ALMIRANTE GRAVINA, 2
ROMÁN ALBERCA, S/N
RONDA SUR, 20
CTRA. CARTAGENA, 59
MAESTRA LOLA MESEGUER, S/N
AV. MIGUEL ESPINOSA, 1
DR. ROBLES, S/N
Pº ALFONSO XIII, 61
CAMINO BARRIO PERAL S/N (LOS BARREROS)
SEBASTIÁN FERINGAN, 12
PZA DEL MESONCICO, 3 Y MAYOR, 22
ALAMEDA DE LOS TRISTES, S/N
PARAJE TORRE OCTAVIO, S/N. (POZO ALEDO)
AV. DE LA FERIA, S/N
CTRA. NACIONAL 340, KM. 589
AV. MARQUÉS DE LOS VÉLEZ, S/N
ANTONIO ROCAMORA, 4. EDIFICIO IBERMUTUAMUR (ESPINARDO)
CTRA. DE ABARÁN, S/N
ASOCIACIÓN, S/N
FINCA EL MAYAYO, 16 (EL PALMAR)
AV CONCEJAL MARIANO HENAREJOS, 13
PARAJE LOS PINOS, S/N (PERÍN)
Pº ALFONSO XIII, 61
MEZQUITA, S/N. PARAJE LOS ARCOS. BARRIO DE SANTA LUCÍA
ALAMEDA DE SAN ANTON Nº 6
AV. VILLAVA, 53
BELOSO ALTO, 3
JOAQUÍN BEÚNZA, 45
AV. PIO XII, 36
BELOSO ALTO, 32
AV. DE GALICIA, 2-A
MENDINUETA, S/N. (ELIZONDO)
SANTA SORIA, 22
CTRA. TUDELA-TARAZONA, KM. 4
ERBURUA S/N
IRUNLARREA, 3
RAMON PUGA, 52
RAMON PUGA, 52
ESTRADA DE PIÑOR, S/N
RAMON PUGA, 52
HABANA (DE LA), 50
CONDE DE FENOSA, 50
ESTRADA DE LAZA, S/N, S/N
SAENZ DIEZ, 11
AVDA. DRES. FERNÁNDEZ-VEGA, 107
AVDA. RICHARD GRANDÍO S/N
NARANJO DE BULNES, 4 Y 6
LA ESTRECHA 33  LA CORREDORIA
CAMINO DE HEROS, 6
CABRUÑANA, 19
SIENRA, 11
JARRIO
LOS PRADOS, 395
URÍA, 37
GENERAL SUÁREZ VALDÉS, 40
AV. EDUARDO CASTRO, 161
PABLO IGLESIAS, 92
POLÍGONO DE RIAÑO
JOVE Y CANELLA, 1
SANTULLANO
AVDA. ROMA, S/N  LA CORREDORIA
LA CASTAÑERA, S/N
VILLAR S/N- LUARCA
LG SANTA ROSA, Nº 6
CARRETERA LA PROVIDENCIA-INFANZÓN 3518
BIMENES,18
AVDA. DE LA COSTA 45
AVDA. PROFESOR PÉREZ PIMENTEL 30 LA GUÍA-SOMIÓ
AVDA. DOCTORES FERNÁNDEZ-VEGA, 34
AV. DONANTES DE SANGRE, S/N
AV. SAN TELMO, S/N
CTRA. DE BURGOS, S/N
PS. PADRE FAUSTINO CALVO, 46
AV. SIMÓN NIETO, 31-34
AV. DONANTES DE SANGRE, S/N
AV. MARÍTIMA DEL SUR, S/N
AV MARÍTIMA DEL SUR, S/N
REAL DEL CASTILLO, 152
HOYA DEL PARRADO, 2 (TAFIRA ALTA)
PADRE CUETO, 26
LEÓN Y CASTILLO, 292
MAESTRO VALLE, 20
SENADOR CASTILLO OLIVARES, 15
DOLORES DE LA ROCHA, 5
LA TORNERA, 16 (TAFIRA ALTA)
LEÓN Y CASTILLO, 407
CTRA. ARRECIFE-TINAJO, KM. 1,3
JUAN DE QUESADA, S/N
CTRA. AEROPUERTO, KM. 1
PALMA ROMERO, 7
CUESTA DE CARABALLO, 1
MISTER BLISSE, S/N  URB. LA ESTRELLA
AV. MARÍTIMA DEL SUR, S/N
BUGANVILLA, 1 (SAN AGUSTÍN)
BARRANCO DE LA BALLENA, S/N
LOMO GORDO, S/N
BARRANCO DE LA BALLENA S/N
MAR DE SIBERIA, 1
AVDA. TOMAS ROCA BOSCH, S/N
LEÓN Y CASTILLO, ESQ. SECUNDINO ALONSO, S/N
AVDA ISLAS CANARIAS 5. C.C. CALIPSO.
MOURENTE, S/N
DOCTOR LOUREIRO CRESPO, 002
SANTA MARIA (DE), 9
FRAY JUAN NAVARRETE, 9
ANDURIQUE, 11
RUA DO MEIXOEIRO, S/N
CAMELIAS, 109
FELICIANO ROLAN, 12
SALAMANCA, 5
MANUEL OLIVIE, 11
VIA NORTE, 48
MADRID, 4
HISPANIDADE, 40
TOMAS A ALONSO, 89
VELLA MADRID, 120
MOURENTE, S/N
HOSPITAL DO SALNES, 30
CLARA CAMPOAMOR, 341
CLARA CAMPOAMOR, 341
Pº DE SAN VICENTE, 58-182
Pº DE SAN VICENTE, 58-182
Pº DE CARMELITAS, 74-94
CARRETERA CIUDAD RODRIGO, S/N
CTRA. DEL ROSARIO, 145
CTRA. DEL ROSARIO, 145
LA CUESTA, S/N
DOMINGO JOSÉ MANRIQUE, 2
DOMINGO JORGE MANRIQUE, 2
CTRA. GENERAL  NORTE, 53
POETA RODRÍGUEZ HERRERA, 1
ENRIQUE WOLFSON, 8
MÉNDEZ NÚÑEZ, 40
SIETE ISLAS, 8 (PLAYA DE LAS AMÉRICAS)
OFRA, S/N
CAMINO LAS GAVIOTAS Nº 22. BARRIO DEL BUEN PASO
MAGNOLIAS, 2 (URBANIZACIÓN SAN MIGUEL)
ALEMANIA, 4 (URB. SAN FERNANDO)
EL LANGRERO, S/N
SAN VICENTE DE PAÚL, 1
LOS BARRIALES, 1
URBANIZACIÓN SAN EUGENIO
RAMBLA SANTA CRUZ, 115
CARRETERA LA CUMBRE, 28. BUENAVISTA DE ARRIBA
OFRA, S/N
CALLE LAS GAVIOTAS Nº 22. BUEN PASO
CALLE DELTA Nº 2
C/ CASAS ALTAS SN
AV. DE VALDECILLA, S/N
AV. DEL FARO-PINTOR EDUARDO SANZ Nº 19
AV. GENERAL DÁVILA, 35
AV. DE CANTABRIA, 52
AV. DE LOS DERECHOS HUMANOS, S/N
Bº. DE GANZO, S/N
AV. DE LOS CONDES, S/N. MOMPÍA
LUIS ERIK CLAVERÍA NEURÓLOGO, S/NÚM.
